epoch,train_loss,test_acc
1,2.1293954386138916,0.2375
2,2.020826523132324,0.2721
3,1.9846888298797607,0.2932
4,1.9644807930755614,0.2917
5,1.9530422662734985,0.3065
6,1.9432562365722656,0.3081
7,1.9372143663024903,0.3123
8,1.9349939264297484,0.3115
9,1.925775049057007,0.3161
10,1.9251165858459474,0.3165
11,1.925755039024353,0.2862
12,1.918416650543213,0.3035
13,1.9178342078399657,0.3011
14,1.9205749936676026,0.3149
15,1.9091862835693358,0.3236
16,1.9099593913269044,0.3301
17,1.9107670357513429,0.3287
18,1.9112809283447265,0.3192
19,1.9062563723754882,0.304
20,1.9083376988220215,0.3055
21,1.9031160353088379,0.3083
22,1.9024636706924438,0.3212
23,1.9046735647964477,0.3175
24,1.9074718498229981,0.3123
25,1.905463769721985,0.3221
26,1.9050739847946168,0.3194
27,1.9004370588684083,0.3221
28,1.9024343628692626,0.328
29,1.9002961702728272,0.3188
30,1.9012743876647948,0.3157
31,1.9006398542022704,0.3277
32,1.8988376566314698,0.3261
33,1.9045434049224854,0.3164
34,1.9062626343154907,0.3077
35,1.8968956799697876,0.3249
36,1.9051721659088134,0.3222
37,1.902263454284668,0.3177
38,1.900483557434082,0.3112
39,1.898387864151001,0.3138
40,1.898012191848755,0.3159
41,1.8971042644500733,0.313
42,1.899878755493164,0.3178
43,1.9020643942260742,0.312
44,1.9017414311981202,0.3242
45,1.897000475540161,0.3235
46,1.904099028930664,0.321
47,1.9040662006378173,0.3235
48,1.9003262831878662,0.3232
49,1.8971783646392821,0.3147
50,1.8972883164215089,0.3352
51,1.904898297843933,0.3309
52,1.899492004547119,0.3181
53,1.9013151680755616,0.3201
54,1.8980855898666382,0.3229
55,1.9042859619522094,0.3329
56,1.8953698527526857,0.3101
57,1.901551664161682,0.3219
58,1.903001536026001,0.3291
59,1.897531731414795,0.3167
60,1.9031854842758178,0.3353
61,1.8991057334899903,0.3199
62,1.8996721308135986,0.3317
63,1.8979990673065186,0.3317
64,1.9038834116744996,0.3381
65,1.9021733040618896,0.3279
66,1.8968468129730225,0.313
67,1.8975746706390382,0.3347
68,1.8979016157531738,0.3245
69,1.8979988498687743,0.3344
70,1.9013437343215942,0.324
71,1.896080751724243,0.3161
72,1.9013280946350097,0.3206
73,1.8999076100158692,0.3087
74,1.8998295036315918,0.3231
75,1.8986692930603026,0.3238
76,1.9016703010559082,0.3212
77,1.8979945685577393,0.3172
78,1.8923418225479125,0.3193
79,1.8985075533294677,0.3346
80,1.8980604899597169,0.3208
81,1.8959483895111084,0.3259
82,1.891938136138916,0.3441
83,1.9012857781982422,0.3221
84,1.8970863473510742,0.3343
85,1.9011502737426758,0.3317
86,1.8964443093490602,0.3212
87,1.8998584393692017,0.3119
88,1.897960491104126,0.3368
89,1.898497174835205,0.3246
90,1.8970968132781982,0.3334
91,1.8993767037582396,0.3164
92,1.897842119293213,0.325
93,1.8958644998550416,0.3217
94,1.900053384552002,0.3167
95,1.9031879601287842,0.3314
96,1.9034412146759032,0.3354
97,1.8994196329498292,0.3211
98,1.8987744579696655,0.3318
99,1.8963453492736817,0.3166
100,1.9011617333221436,0.3261
