epoch,ssl_loss,knn_acc
1,4.1461160195163815,0.4052
2,3.774713363598617,
3,3.6593944531854685,
4,3.596563628632647,
5,3.546035608469906,0.5729
6,3.5064449670525426,
7,3.473965620719822,
8,3.4557603153468093,
9,3.437405452227623,
10,3.4248199429310544,0.6596
11,3.414552521919319,
12,3.401655271019734,
13,3.395385293435501,
14,3.3844691583655404,
15,3.376944858194466,0.6969
16,3.3713169476439493,
17,3.3623170074213786,
18,3.359245364400397,
19,3.353172164873033,
20,3.3440621463956357,0.7149
21,3.3425327168536705,
22,3.3344813507436637,
23,3.33067734110218,
24,3.326810515033756,
25,3.32001596559483,0.7266
26,3.315849346632231,
27,3.3127418119989804,
28,3.3114500433473673,
29,3.305918750323346,
30,3.3021577558505246,0.7403
31,3.2995239699237935,
32,3.298494520016425,
33,3.2964886370450066,
34,3.292971194629938,
35,3.29058585398939,0.7514
36,3.2861722239153637,
37,3.2852914507349382,
38,3.283745928396794,
39,3.2809482643454695,
40,3.2758269023040496,0.7598
41,3.2744033223688223,
42,3.274262378524116,
43,3.2710625526999695,
44,3.26954900531549,
45,3.266955453210848,0.7681
46,3.2664885322507304,
47,3.2631228302871373,
48,3.262125984196779,
49,3.2601798688861687,
50,3.2603609528340085,0.7672
51,3.2584545020104674,
52,3.255067219654821,
53,3.257556962600591,
54,3.2511043353208966,
55,3.251850095509567,0.7767
56,3.2506559359126754,
57,3.247434747051185,
58,3.248459864212212,
59,3.2472457220246027,
60,3.2444483192873674,0.7845
61,3.2441241161160828,
62,3.24245022933706,
63,3.2407584040784654,
64,3.2397993807603394,
65,3.237627189382243,0.7856
66,3.23761298928157,
67,3.2373122494290945,
68,3.234200108524474,
69,3.2345546436676145,
70,3.2318090498065826,0.7933
71,3.231558247809221,
72,3.232207798011477,
73,3.2293345103953772,
74,3.2307749988174925,
75,3.226107370532887,0.7995
76,3.226488809426829,
77,3.2248797517427255,
78,3.2220012628772654,
79,3.2239126508886162,
80,3.2223708788350356,0.7967
81,3.22201346801582,
82,3.2215502182744378,
83,3.2205893352303403,
84,3.2213952974839644,
85,3.218769167205283,0.7976
86,3.2144100895001246,
87,3.2135264018738927,
88,3.216524876339335,
89,3.2139014312460845,
90,3.212894635072286,0.797
91,3.2116422415084935,
92,3.2115388679748613,
93,3.2092051390038563,
94,3.2102694093188924,
95,3.209100211628268,0.8073
96,3.2085906723549975,
97,3.2085589510835852,
98,3.207482879506794,
99,3.2080340303013175,
100,3.204267188620476,0.8071
101,3.204033699902621,
102,3.2034464969219836,
103,3.203665740358692,
104,3.2023945468336,
105,3.2006941733073333,0.8122
106,3.204772644555828,
107,3.201473683309616,
108,3.2006988278119115,
109,3.199529364838643,
110,3.1994544223389765,0.8184
111,3.1968117581439537,
112,3.1962608882010213,
113,3.196646260848882,
114,3.1963327068372815,
115,3.1941276863503547,0.8145
116,3.1949364094972306,
117,3.1937087091990533,
118,3.1945739860876574,
119,3.191914922296619,
120,3.192515145495973,0.8195
121,3.1905975042628874,
122,3.192662737281008,
123,3.187222478942285,
124,3.190372582434387,
125,3.1886669075290617,0.8203
126,3.188803050643198,
127,3.189093493926846,
128,3.183605789375061,
129,3.1866885184020606,
130,3.187431441073839,0.8221
131,3.1867492104309316,
132,3.1853552426327205,
133,3.1833314871208005,
134,3.1842487148377714,
135,3.184599558614128,0.8275
136,3.182035051448397,
137,3.1812802777552878,
138,3.1838506605194716,
139,3.1842241690192425,
140,3.1824605889265425,0.825
141,3.181351330765689,
142,3.181615251585097,
143,3.1784649658447344,
144,3.1795312323429825,
145,3.1798680933733756,0.8299
146,3.179067809816817,
147,3.180132628403003,
148,3.1795159100570385,
149,3.1774943845678076,
150,3.176949767541336,0.8328
151,3.179876674305309,
152,3.1749017339357186,
153,3.176777248651209,
154,3.1752462225290023,
155,3.174466834636107,0.8333
156,3.174745302652122,
157,3.1739272634748,
158,3.174365691735711,
159,3.173548225861963,
160,3.1766659654820013,0.8346
161,3.169964973813593,
162,3.172027348861499,
163,3.173665394703649,
164,3.171812100538676,
165,3.171312578814283,0.8337
166,3.1708403735704214,
167,3.1716379890368627,
168,3.170573992246855,
169,3.1692508616307022,
170,3.169807236570097,0.8323
171,3.168435905410141,
172,3.1692451408058977,
173,3.1683602858139213,
174,3.1674146792647475,
175,3.1690440196233887,0.8382
176,3.1671076455891667,
177,3.167348007233897,
178,3.1665892152261184,
179,3.1646518206626904,
180,3.164269527308309,0.8393
181,3.16495986631982,
182,3.16605796581957,
183,3.164492482565124,
184,3.1620882668660024,
185,3.1640049083284776,0.8408
186,3.163331307766532,
187,3.1625780381558037,
188,3.1644993902931753,
189,3.1643657952966824,
190,3.1622911140647036,0.8414
191,3.161104396424434,
192,3.1601489090888966,
193,3.1614642827062083,
194,3.1615470063213196,
195,3.160038802748911,0.8442
196,3.162387049915543,
197,3.1578716602887145,
198,3.1599913983583146,
199,3.158440708961438,
200,3.160713537096519,0.84
