epoch,train_loss,test_acc
1,0.6657184561920166,0.8145
2,0.553186233215332,0.8249
3,0.5384688883209229,0.8277
4,0.5202114298915863,0.8255
5,0.5153797278404236,0.8306
6,0.5074421917343139,0.8305
7,0.5055320802116394,0.8323
8,0.49802928496360777,0.8362
9,0.49537031878471377,0.8329
10,0.49346945516586305,0.8365
11,0.4873778324890137,0.8356
12,0.48617555740356444,0.8314
13,0.48420425539016726,0.8348
14,0.48571004009246826,0.8329
15,0.4841367070770264,0.8355
16,0.47878647456169127,0.838
17,0.48197303646087647,0.834
18,0.4784585430765152,0.8347
19,0.47707102222442627,0.8372
20,0.4743935891723633,0.8398
21,0.4747843037319183,0.8316
22,0.473250769367218,0.8397
23,0.47009444229602815,0.8367
24,0.4679570895957947,0.8383
25,0.46980480083465576,0.8377
26,0.4680456043434143,0.8387
27,0.46851909570693967,0.8315
28,0.46820004022598266,0.8367
29,0.4660322655487061,0.8345
30,0.46603584295272826,0.8376
31,0.46767285524368285,0.8388
32,0.46727070198059084,0.8386
33,0.4639167938518524,0.8359
34,0.46402229771614073,0.84
35,0.46463037729263307,0.8376
36,0.46017564586639403,0.837
37,0.46563248101234433,0.8402
38,0.4625042152786255,0.8401
39,0.46622348308563233,0.8365
40,0.46456050971984864,0.8391
41,0.4621128080749512,0.8357
42,0.4626704587841034,0.8412
43,0.4638567523765564,0.8413
44,0.46265414786338804,0.8366
45,0.4625497134208679,0.8425
46,0.4610773044872284,0.8379
47,0.4588281880569458,0.838
48,0.4623697472548485,0.8398
49,0.45973049926757814,0.841
50,0.4592384767484665,0.8393
51,0.460852487988472,0.8411
52,0.4600835115623474,0.8348
53,0.4607431705760956,0.8393
54,0.46024175851821897,0.8405
55,0.45938090693473815,0.8404
56,0.46131025309562684,0.8374
57,0.45867822026252747,0.8436
58,0.4589301443004608,0.8389
59,0.45830402769088746,0.8382
60,0.45582306520462035,0.8379
61,0.4579033249950409,0.8431
62,0.46354464577674864,0.8324
63,0.45677555923461916,0.8397
64,0.45723878445625304,0.8401
65,0.4599297463083267,0.8408
66,0.45763617925643924,0.8406
67,0.46044729511260984,0.8359
68,0.45937691471099856,0.8363
69,0.4554966160583496,0.8408
70,0.4574222266197205,0.838
71,0.46107808122634886,0.8376
72,0.4554599280166626,0.8413
73,0.45671557914733885,0.8413
74,0.4549271131706238,0.838
75,0.4552504616355896,0.8389
76,0.455070217590332,0.8404
77,0.4600635515022278,0.8366
78,0.45674157752990724,0.8388
79,0.45728297897338865,0.8384
80,0.45973720106124877,0.838
81,0.45474167707443236,0.8404
82,0.4580576672077179,0.8385
83,0.45423957654953,0.844
84,0.45354536046981814,0.8412
85,0.4555619385528564,0.8404
86,0.4523461262702942,0.8408
87,0.45527365460395813,0.8427
88,0.45631958171844483,0.8412
89,0.454656833190918,0.841
90,0.4577855928993225,0.8423
91,0.455875653591156,0.8394
92,0.4568232027244568,0.8404
93,0.45500326093673704,0.8419
94,0.4577252142524719,0.8401
95,0.45332247632026673,0.837
96,0.4517497622680664,0.8387
97,0.45403235480308535,0.8385
98,0.4537992565822601,0.836
99,0.45521336698532106,0.8315
100,0.45368195896148683,0.8376
