epoch,train_loss,test_acc
1,1.348775977897644,0.5905
2,0.8778173746681214,0.6834
3,0.6963054021644592,0.7279
4,0.5908019926261902,0.781
5,0.5137859408283234,0.8147
6,0.46466441883087156,0.8319
7,0.41902343967437744,0.8329
8,0.3801813673782349,0.8537
9,0.3518214917755127,0.8638
10,0.32289929650306703,0.8662
11,0.30312102588653567,0.8713
12,0.2797476887893677,0.8688
13,0.2636116437339783,0.8735
14,0.2427604541873932,0.8824
15,0.22337181297063827,0.8637
16,0.21171748516082764,0.8917
17,0.19690435321807861,0.8949
18,0.1848825936794281,0.8883
19,0.17398072963237762,0.8853
20,0.17030741958856582,0.8978
21,0.1567756861805916,0.8861
22,0.14702061826467513,0.8984
23,0.1375381140458584,0.8951
24,0.1328270945239067,0.9009
25,0.12146632813811302,0.9004
26,0.11843922443866729,0.9016
27,0.11059305708765983,0.8959
28,0.10482505971193314,0.903
29,0.10106817091822624,0.9034
30,0.09736039381384849,0.9071
31,0.0917941503173113,0.9098
32,0.08800342272758484,0.9087
33,0.08176669964551926,0.9114
34,0.0817323349905014,0.9127
35,0.07607348574131727,0.9116
36,0.07600240138709545,0.9117
37,0.07136515728354453,0.9126
38,0.0724983131122589,0.909
39,0.06461991976648569,0.9075
40,0.062586757119596,0.9136
41,0.06042442335098982,0.9121
42,0.0636467567974329,0.9158
43,0.058289520305991174,0.91
44,0.057809703982174394,0.9104
45,0.05462317415654659,0.9104
46,0.049511625285148624,0.9151
47,0.05019025219067931,0.913
48,0.05087812229231,0.9129
49,0.05138819462738931,0.9156
50,0.045747691563367845,0.9153
51,0.04667267316684127,0.9146
52,0.048665995595306155,0.9148
53,0.04398430585604161,0.9138
54,0.04362871446073055,0.9146
55,0.043120745342746375,0.9171
56,0.04157581979718525,0.9172
57,0.03848269425977022,0.9132
58,0.03925107605934143,0.9167
59,0.04179542792275548,0.9174
60,0.03694939529165626,0.92
61,0.03540093804486096,0.9156
62,0.03602180768370628,0.9174
63,0.041390408172905443,0.9164
64,0.03479521131627262,0.9107
